Car Name,Liters,Age,Distance,Price
Audi A6,3.0,10,120000.0,33150.0
Hyundai Avante,1.6,10,230000.0,21000.0
GAZ 24,2.3,36,35230.0,13000.0
LADA (VAZ) Priora,1.6,7,137000.0,15800.0
Mercedes E 200,1.8,17,300000.0,21800.0
Toyota Corolla Cross,2.0,0,0.0,34170.0
Audi A6,2.0,10,222000.0,28050.0
Chevrolet Cruze,1.4,10,245000.0,14400.0
Toyota Avalon,3.5,12,176000.0,28000.0
Kia Optima,2.4,12,134000.0,22500.0
LADA (VAZ) Niva,1.7,6,123582.0,11500.0
Land Rover RR Evoque,2.0,10,150000.0,45000.0
Toyota Camry,2.5,5,150000.0,41310.0
Mercedes Sprinter 315,2.2,16,250000.0,27500.0
BYD Destroyer 05,1.5,0,0.0,23600.0
BMW 420,2.0,5,64000.0,37400.0
Kia Sorento,2.0,10,99500.0,34500.0
Chevrolet Cobalt,1.5,3,85000.0,29000.0
Hyundai Elantra,1.8,13,185000.0,16800.0
Kia Sorento,2.0,11,170000.0,28500.0
Mercedes E 220,2.2,30,398000.0,10200.0
Mitsubishi Pajero,2.8,30,450000.0,7900.0
Kia Forte,2.0,5,52362.0,26700.0
Toyota Land Cruiser,4.5,21,325000.0,12000.0
Renault Megane,1.5,17,314000.0,6900.0
Toyota Aqua,1.5,6,42000.0,17900.0
Kia Rio,1.4,19,300000.0,9800.0
Daewoo Gentra,1.5,11,345000.0,8800.0
LADA (VAZ) 2107,1.6,14,70000.0,8300.0
Mercedes E 220 d,2.0,7,136000.0,52530.0
Kia Sorento,2.0,10,117000.0,34500.0
Lexus ES 200,2.0,3,44000.0,72930.0
BYD Song Plus DM-İ,1.5,0,0.0,46410.0
Hyundai Santa Fe,2.0,10,86600.0,26800.0
Toyota Prius,1.8,16,360000.0,14200.0
Hyundai Santa Fe,2.0,10,218871.0,27500.0
BMW 530,2.0,4,70000.0,62730.0
Toyota Land Cruiser Prado,2.7,11,107000.0,50660.0
BMW 528,2.0,13,227000.0,27900.0
Toyota Camry,2.5,4,135000.0,42000.0
Changan Qiyuan Q07,1.5,0,0.0,31450.0
Land Rover Discovery,3.0,12,333000.0,27000.0
Ford Fusion (North America),2.0,5,186165.0,25900.0
Toyota Land Cruiser Prado,2.7,12,148000.0,40000.0
BMW XM,4.4,2,29400.0,284580.0
Land Rover RR Sport,3.0,11,280000.0,48450.0
Kia Sorento,1.6,3,34900.0,56900.0
BMW 528,2.0,9,152888.0,28050.0
Toyota Land Cruiser,4.0,14,198000.0,44000.0
Kia Sorento,3.8,18,270000.0,13700.0
Toyota Prius,1.8,9,165762.0,22900.0
BMW M3,3.0,8,92300.0,110500.0
Volkswagen Passat CC,2.0,13,224000.0,14900.0
Infiniti Q50,2.0,6,36000.0,35530.0
Mercedes E 220 d,2.0,9,127000.0,46000.0
BYD Seal 05,1.5,0,0.0,19533.0
Hyundai Sonata,2.0,13,126412.0,17700.0
BMW 520,2.0,8,171570.0,58700.0
BMW 520,2.0,11,200000.0,34500.0
Chevrolet Trax,1.4,8,56000.0,19700.0
Kia K5,1.7,10,179000.0,25900.0
Hyundai i30,1.6,16,223000.0,16900.0
MAN TGA 18.440,12.0,13,1080000.0,72500.0
Land Rover Range Rover,5.0,12,178000.0,57630.0
Volkswagen Touareg,3.6,17,225000.0,17400.0
Hyundai Elantra,2.0,5,71000.0,25200.0
Mercedes S 500,5.5,15,244000.0,36550.0
Nissan X-Trail,2.0,5,29000.0,40000.0
Lexus ES 300h,2.5,3,75500.0,63580.0
Mercedes E 250,2.0,7,41900.0,70550.0
Mercedes E 250,2.5,7,67900.0,57460.0
BMW X5,3.0,10,136000.0,56780.0
Kia Cerato,1.6,12,250000.0,19000.0
Hyundai Veracruz,3.8,17,265000.0,19500.0
Jeep Grand Cherokee,2.0,2,20000.0,73100.0
HOWO Sinotruk,10.0,2,0.0,94000.0
Toyota Frontlander,2.0,0,0.0,39200.0
Mercedes Viano,3.0,13,175000.0,37500.0
Kia Sorento,2.0,12,214015.0,29700.0
Land Rover Discovery,3.0,7,88805.0,68850.0
Toyota Land Cruiser Prado,2.7,19,164000.0,26500.0
Ford Transit,2.4,14,189000.0,27800.0
Toyota Land Cruiser Prado,2.7,14,136000.0,36500.0
Mercedes E 320,3.2,30,410000.0,8200.0
LADA (VAZ) Niva,1.7,0,4000.0,21900.0
Lexus LS 430,4.3,19,275000.0,13600.0
Mercedes E 200,1.8,18,222000.0,23500.0
Nissan Note,1.2,6,28200.0,18300.0
Kia K3,1.6,10,72000.0,22900.0
Hyundai i30,1.6,13,171000.0,18900.0
Mercedes C 200 d,2.0,7,97000.0,39000.0
BMW X5,4.8,19,235300.0,19500.0
Porsche Panamera 4S,3.0,11,101000.0,60350.0
BMW 530e,2.0,3,60000.0,76500.0
Kia Sorento,2.5,19,350000.0,13600.0
Hyundai i30,1.6,17,195500.0,13700.0
BMW 528,2.0,9,146000.0,36300.0
Hyundai Sonata,1.6,5,90123.0,37000.0
Nissan Note,1.2,9,30000.0,15200.0
Chevrolet Equinox,1.5,8,175000.0,21000.0
Hyundai Accent,1.6,6,87222.0,20900.0
Mercedes GLC 300,2.0,6,67000.0,50830.0
Mercedes C 43 AMG 4MATIC,2.0,3,25200.0,132600.0
Nissan Note,1.2,8,47000.0,17700.0
Nissan Note,1.2,8,46000.0,18400.0
Nissan Note,1.2,7,41000.0,16400.0
Hyundai Sonata,2.4,10,161000.0,17900.0
Infiniti FX35,3.5,19,190400.0,17400.0
Hyundai Santa Fe,2.0,9,167250.0,32000.0
Toyota Land Cruiser,4.0,13,220000.0,54400.0
BMW X5,3.0,9,86000.0,64430.0
Mercedes E 240,2.4,26,458000.0,15000.0
BMW 528,2.0,9,186000.0,29999.0
Kia Rio,1.5,18,276800.0,10777.0
Skoda Octavia,1.5,1,3000.0,48000.0
BMW X7,3.0,2,27500.0,229500.0
Mercedes GLE 350 4MATIC Coupe,2.0,2,25000.0,158100.0
Toyota Corolla Cross,2.0,0,0.0,33850.0
Land Rover RR Sport,3.0,10,56000.0,62900.0
Kia Stinger,2.0,7,89000.0,34400.0
Hyundai Elantra,1.8,11,155000.0,20000.0
Audi Q7,2.0,6,104500.0,61200.0
Kia Sorento,1.6,2,46000.0,58500.0
GMC Sierra,3.0,3,22500.0,219300.0
Mazda CX-7,2.3,13,82800.0,19000.0
Toyota Frontlander,2.0,0,0.0,39000.0
Chevrolet Cruze,1.4,10,190000.0,15800.0
Kia Forte,2.0,6,53300.0,26500.0
BMW 530,2.0,5,105000.0,68850.0
Toyota Aqua,1.5,8,175000.0,16299.0
Mini Countryman,1.6,12,158000.0,21800.0
Porsche Cayenne Turbo,4.8,14,231000.0,30900.0
Mercedes C 230,2.3,26,295000.0,12400.0
BMW X5,2.0,9,128700.0,50490.0
Chevrolet Cruze,1.4,11,145700.0,13800.0
Land Rover Range Rover,3.0,9,160000.0,65500.0
Hyundai Avante,1.6,16,220000.0,12500.0
Chevrolet Cruze,1.4,11,205272.0,11700.0
Volkswagen Polo,1.2,15,230000.0,8500.0
Kia ProCeed,1.4,5,61000.0,41900.0
BMW 530e,2.0,7,172000.0,34943.0
Nissan Micra,1.2,13,133000.0,11900.0
Land Rover RR Sport,3.0,5,115500.0,83300.0
Hyundai Santa Fe,2.0,17,276800.0,21800.0
Kia Rio,1.6,12,256800.0,14500.0
Lexus GS 300h,2.5,7,109000.0,64088.299999999996
Mercedes C 300,2.0,10,87000.0,33830.0
BMW X5,3.0,10,216000.0,54230.0
BMW 320,2.0,12,152000.0,28500.0
Toyota Camry,2.5,4,128000.0,50830.0
Hyundai Santa Fe,2.4,12,135000.0,24200.0
Land Rover Range Rover,3.0,5,87000.0,96900.0
BMW 520,2.0,2,37600.0,84830.0
Porsche Cayenne,3.6,8,145000.0,56100.0
Ford Transit,2.5,28,180000.0,17000.0
Toyota Prius PHV,1.8,13,371758.0,15900.0
Porsche Cayenne GTS,4.8,11,157000.0,41650.0
BMW 535,3.0,14,102000.0,38250.0
GAZ 31105,2.3,18,22900.0,14500.0
Hyundai Elantra,2.0,8,108000.0,22300.0
Lexus RX 350,3.5,7,133000.0,66130.0
Land Rover RR Sport,3.0,8,129500.0,74460.0
