Car Name,Attributes,Price,Currency
Volvo FH 460,"2010, 13 L, 1 285 000 km",63 000,AZN
Nissan X-Trail,"2012, 2.5 L, 219 000 km",19 000,AZN
Skoda Kamiq,"2021, 1.6 L, 58 000 km",27 900,AZN
Volkswagen Touareg,"2013, 3.6 L, 132 000 km",32 000,AZN
DAF 105 XF,"2011, 12 L, 1 100 000 km",38 000,AZN
DAF 105 XF,"2007, 12 L, 1 370 000 km",38 500,AZN
JETOUR T2,"2025, 2.0 L, 0 km",57 500,AZN
DAF 105 XF,"2013, 12 L, 990 000 km",67 000,AZN
BMW 530e,"2018, 2.0 L, 52 300 km",30 000,$
LADA (VAZ) Priora,"2013, 1.6 L, 286 000 km",9 900,AZN
Toyota Prius,"2008, 1.5 L, 328 504 km",12 900,AZN
Ford Edge,"2016, 2.0 L, 103 000 km",27 900,AZN
Changan Qiyuan Q05,"2025, 1.5 L, 0 km",28 900,AZN
Mercedes E 200,"2013, 2.0 L, 150 000 km",37 500,AZN
Land Rover Range Rover,"2017, 3.0 L, 220 000 km",40 000,$
Toyota Land Cruiser,"2013, 4.6 L, 178 000 km",59 000,AZN
Mercedes E 220 d,"2015, 2.2 L, 188 000 km",35 000,AZN
Kia Sorento,"2016, 2.0 L, 86 200 km",26 800,AZN
Kia Sorento,"2015, 2.0 L, 204 000 km",35 500,AZN
Opel Astra,"2005, 1.3 L, 311 226 km",10 300,AZN
Kia K3,"2017, 1.6 L, 119 000 km",23 500,AZN
Mercedes S 63 AMG 4MATIC,"2014, 5.5 L, 56 000 km",57 000,$
Land Rover Range Rover,"2020, 3.0 L, 86 000 km",59 500,$
Mini Cooper,"2012, 1.6 L, 71 795 km",14 900,$
Mercedes E 220 d,"2015, 2.2 L, 208 000 km",33 000,AZN
Mercedes GL 500 4MATIC,"2014, 4.7 L, 234 964 km",25 500,$
Audi A6,"2015, 3.0 L, 120 000 km",19 500,$
Hyundai Avante,"2015, 1.6 L, 230 000 km",21 000,AZN
GAC Aion S Max,"2024,  9 500 km",39 900,AZN
GAZ 24,"1989, 2.3 L, 35 230 km",13 000,AZN
LADA (VAZ) Priora,"2018, 1.6 L, 137 000 km",15 800,AZN
Mercedes E 200,"2008, 1.8 L, 300 000 km",21 800,AZN
Toyota Corolla Cross,"2025, 2.0 L, 0 km",20 100,$
Audi A6,"2015, 2.0 L, 222 000 km",16 500,$
Chevrolet Cruze,"2015, 1.4 L, 245 000 km",14 400,AZN
Toyota Avalon,"2013, 3.5 L, 176 000 km",28 000,AZN
Kia Optima,"2013, 2.4 L, 134 000 km",22 500,AZN
LADA (VAZ) Niva,"2019, 1.7 L, 123 582 km",11 500,AZN
Land Rover RR Evoque,"2015, 2.0 L, 150 000 km",45 000,AZN
Toyota Camry,"2020, 2.5 L, 150 000 km",24 300,$
